product_code_group,product_name
1-FS-000,Ball 3kg
100-BC-004,Biskuit Sate 100
80-BC-001,Biskuit Sate 80
100-BC-003,Dunia Satwa 100
80-BC-002,Dunia Satwa 80
HS,Produk Festive
10-WB-000,Fortius 10
100-WB-000,Fortius 100
30-WB-000,Fortiu 30
60-WB-001,Fortius Wafer 60
120-BC-024,Gem Bunga 120
1-FS-005,Gem Bunga 4Kg
36-BC-000,Kemasan 36
21-BC-000,Goodbis 21
30-BC-000,Goodbis 30
24-BC-004,Goodbis Cream Crackers 24
120-REG-000,Goodbis Crispy Cheese 120
24-REG-000,Goodbis Crispy Cheese 24
24-BC-000,Goodbis 24
24-BC-002,Goodbis Marie Susu 24
40-BC-001,Goodbis Orange Roll 40
12-BC-003,Goodbis Peanut Jam 12
12-BC-004,Goodbis Pinneapple Jam 12
60-BC-000,Goodbis Shrimp Stick 60
20-BC-002,Goodbis So Rich 20
120-BC-001,Goodbis Squarepuff 120
24-BC-003,Goodbis Squarepuff 24
120-BC-026,Hitam Manis 120
10-BC-001,Marie Susu 10
120-BC-023,Marie Susu 120
20-BC-001,Marie Susu 20
24-BC-001,Marie Susu 24
90-BC-000,Marie Susu 90
30-BC-011,Marie Susu 30
40-BC-002,Marie Susu 40
120-BC-027,Okebis Biskuit Cokelar 120
28-BC-001,Okebis Cokelat Jahe 28
24-BC-005,Okebis Biskuit Jahe 24
28-BC-002,Okebis Biskuit Jahe 28
28-BC-004,Okebis Kelapa 28
120-BC-025,Okebis Biskuit Kelapa 120
104-BC-001,Okebis Chocochips Cookies 104
48-BC-014,Okebis Chocochips Cookies 48
20-BC-003,Okebis Cokelat Cookies 20
120-BC-000,Okebis Cookies Cream 120
20-BC-000,Okebis Cookies Cream 20
72-BC-003,Okebis Cookies Cream 72
28-BC-000,Okebis Kelapa Cream 28
72-BC-000,Okebis Kelapa Cream 72
